Date,Open,High,Low,Close,Adj Close**,Volume
18-Sep-19,"3,001.50","3,007.83","2,978.57","3,006.73","3,006.73","3,435,540,000"
19-Sep-19,"3,010.36","3,021.99","3,003.16","3,006.79","3,006.79","3,251,290,000"
20-Sep-19,"3,008.42","3,016.37","2,984.68","2,992.07","2,992.07","6,094,740,000"
23-Sep-19,"2,983.50","2,999.15","2,982.23","2,991.78","2,991.78","3,186,590,000"
24-Sep-19,"3,002.43","3,007.98","2,957.73","2,966.60","2,966.60","3,868,160,000"
25-Sep-19,"2,968.35","2,989.82","2,952.86","2,984.87","2,984.87","3,318,870,000"
26-Sep-19,"2,985.73","2,987.28","2,963.71","2,977.62","2,977.62","3,077,240,000"
27-Sep-19,"2,985.47","2,987.31","2,945.53","2,961.79","2,961.79","3,243,650,000"
30-Sep-19,"2,967.07","2,983.85","2,967.07","2,976.74","2,976.74","3,247,610,000"
1-Oct-19,"2,983.69","2,992.53","2,938.70","2,940.25","2,940.25","3,558,040,000"
2-Oct-19,"2,924.78","2,924.78","2,874.93","2,887.61","2,887.61","3,912,520,000"
3-Oct-19,"2,885.38","2,911.13","2,855.94","2,910.63","2,910.63","3,503,640,000"
4-Oct-19,"2,918.56","2,953.74","2,918.56","2,952.01","2,952.01","2,990,830,000"
7-Oct-19,"2,944.23","2,959.75","2,935.68","2,938.79","2,938.79","2,940,140,000"
8-Oct-19,"2,920.40","2,925.47","2,892.66","2,893.06","2,893.06","3,356,450,000"
9-Oct-19,"2,911.10","2,929.32","2,907.41","2,919.40","2,919.40","2,726,820,000"
10-Oct-19,"2,918.55","2,948.46","2,917.12","2,938.13","2,938.13","3,217,250,000"
11-Oct-19,"2,963.07","2,993.28","2,963.07","2,970.27","2,970.27","3,580,460,000"
14-Oct-19,"2,965.81","2,972.84","2,962.94","2,966.15","2,966.15","2,557,020,000"
15-Oct-19,"2,973.61","3,003.28","2,973.61","2,995.68","2,995.68","3,340,740,000"
16-Oct-19,"2,989.68","2,997.54","2,985.20","2,989.69","2,989.69","3,222,570,000"
17-Oct-19,"3,000.77","3,008.29","2,991.79","2,997.95","2,997.95","3,115,960,000"
18-Oct-19,"2,996.84","3,000.00","2,976.31","2,986.20","2,986.20","3,264,290,000"
21-Oct-19,"2,996.48","3,007.33","2,995.35","3,006.72","3,006.72","3,271,620,000"
22-Oct-19,"3,010.73","3,014.57","2,995.04","2,995.99","2,995.99","3,523,890,000"
23-Oct-19,"2,994.01","3,004.78","2,991.21","3,004.52","3,004.52","3,392,870,000"
24-Oct-19,"3,014.78","3,016.07","3,000.42","3,010.29","3,010.29","3,692,600,000"
25-Oct-19,"3,003.32","3,027.39","3,001.94","3,022.55","3,022.55","3,370,370,000"
28-Oct-19,"3,032.12","3,044.08","3,032.12","3,039.42","3,039.42","3,521,230,000"
29-Oct-19,"3,035.39","3,047.87","3,034.81","3,036.89","3,036.89","3,589,930,000"
30-Oct-19,"3,039.74","3,050.10","3,025.96","3,046.77","3,046.77","3,776,030,000"
31-Oct-19,"3,046.90","3,046.90","3,023.19","3,037.56","3,037.56","4,139,280,000"
1-Nov-19,"3,050.72","3,066.95","3,050.72","3,066.91","3,066.91","3,930,200,000"
4-Nov-19,"3,078.96","3,085.20","3,074.87","3,078.27","3,078.27","4,146,850,000"
5-Nov-19,"3,080.80","3,083.95","3,072.15","3,074.62","3,074.62","4,486,130,000"
6-Nov-19,"3,075.10","3,078.34","3,065.89","3,076.78","3,076.78","4,458,190,000"
7-Nov-19,"3,087.02","3,097.77","3,080.23","3,085.18","3,085.18","4,144,640,000"
8-Nov-19,"3,081.25","3,093.09","3,073.58","3,093.08","3,093.08","3,499,150,000"
11-Nov-19,"3,080.33","3,088.33","3,075.82","3,087.01","3,087.01","3,035,530,000"
12-Nov-19,"3,089.28","3,102.61","3,084.73","3,091.84","3,091.84","3,466,010,000"
